name,date,date_range,location,image_link,description
Ground stone,49 kya,49–45,,,"– 30 kya: Ground stone tools – fragments of an axe in Australia date to 49–45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic."
ochre,47 kya,47 kya,,,"The oldest-known mines in the world are from Eswatini, and extracted hematite for the production of the red pigment ochre."
shoes,45 kya,45 kya,"China, Fort Rock Cave",,"– 9 kya: Earliest evidence of shoes, suggested by changes in foot bone morphology in China by Tianyuan man. The earliest physical shoes found so far are bark sandals dated to 10 to 9 kya in Fort Rock Cave, United States. The oldest known leather shoe dated to 5.5 kya was found in excellent condition in the Areni-1 cave located in the Vayots Dzor province of Armenia."
Tally sticks,44 kya,44 kya,Eswatini,,– 42 kya: Tally sticks (see Lebombo bone) in Eswatini
Flute,42 kya,42 kya,Germany,,Flute in Germany
Mortar and pestle,37 kya,37 kya,Southwest Asia,,Mortar and pestle in Southwest Asia
Rope,32,32,,,"-28 kya: Rope and Cords for ""hafting stone tools, weaving baskets, or sewing garments,"" according to Elis Kvavadze et al."
Amputation,31 kya,31 kya,,,"Amputation and surgery. Medicine in a meaningful sense likely predates the human-chimpanzee split, as, for example, herbal medicine has been observed in other primates."
Ceramics,28 kya,28 kya,Moravia,,"Ceramics (direct evidence) and weaving (impressions left in the ceramics) in Moravia (Czech Republic) and Georgia. (The oldest piece of woven cloth found so far was in Çatalhöyük, Turkey and dated to about 9,000 years ago.)"
Oldest known ceramic sculpture,24 kya,24 kya,,,Oldest known ceramic sculpture
Domestication of the dog,23 kya,23 kya,Siberia,,Domestication of the dog in Siberia.
Bullroarer,22,22,,,– 17 kya Bullroarer
Fish hook,22 kya,22 kya,Okinawa Island,,"Fish hook in Okinawa Island, modern day Japan."
Star chart,21,21,France,,"– 3.7 kya: Star chart in France, and later Spain, Kashmir, Germany, and Egypt."
Pottery,20,20,China,,– 16 kya: Pottery in China
Spear-thrower,17.5 kya,17.5 kya,France,,"Spear-thrower (atlatl), found in France."
Bread,14.5 kya,14.5 kya,Jordan,,Bread in Jordan
Spindle whorl,12 kya,12 kya,,,"Spindle whorl, also the oldest wheel-like tool, at Nahal Ein Gev II (Israel)"
Agriculture,10,000 BC – 9000 BC,,,",000 BC – 9000 BC: Agriculture in the Fertile Crescent"
Domestication of sheep,10,000 BC – 9000 BC,Southwest Asia,,",000 BC – 9000 BC: Domestication of sheep in Southwest Asia (followed shortly by pigs, goats and cattle)"
Oldest known surviving building,9500 BC,9500 BC,Turkey,,"– 9000 BC: Oldest known surviving building – Göbekli Tepe, in Turkey"
Domestication of rice,9000 BC,9000 BC,China,,– 6000 BC: Domestication of rice in China
Mudbricks,9000 BC,9000 BC,Jericho,,"Mudbricks (unfired bricks), and clay mortar in Jericho."
well,8400 BC,8400 BC,Cyprus,,Oldest known water well in Cyprus.
Pesse canoe,8040,8040,,,"–7510 BC: The Pesse canoe is the oldest boat we have found, while early human habitation of Crete and Australia make clear human seafaring goes back tens or hundreds of thousands of years. (see above)"
Proto-city,8000,8000,,,"–7500 BC: Proto-city – large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük, Turkey."
potatoes,8000,8000,,,"–5000 BC: Domestication of potatoes, in southern Peru and northwestern Bolivia by pre-Columbian farmers, around Lake Titicaca."
Copper tools,7500,7500,,,"–6500 BC: Copper tools, by the people of the Old Copper Complex from the Great Lakes region of North America."
Alcohol fermentation,7000 BC,7000 BC,China,,"Alcohol fermentation – specifically mead, in China"
Sled dog,7000 BC,7000 BC,Siberia,,"Sled dog and Dog sled, in Siberia."
lead smelting,6500 BC,6500 BC,,,"Evidence of lead smelting in Çatalhöyük, Turkey"
Kiln,6000 BC,6000 BC,Mesopotamia,,Kiln in Mesopotamia (Iraq)
Irrigation,6,6,Khuzistan,,"th millennium BC: Irrigation in Khuzistan, Iran"
Proto-writing,6000 BC,6000 BC,,,"– 3200 BC: Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan."
salt production,5900,5900,Southeastern Europe,,"– 5600 BC: Oldest evidence of salt production found in Southeastern Europe, in the countries of Moldova and Romania."
cheese,5500,5500,Poland and on the Dalmatian coast of Croatia,,"– 5200 BC: Oldest evidence of cheese found, in Poland and on the Dalmatian coast of Croatia."
Sailing,5500 BC,5500 BC,Mesopotamia,,"Sailing - pottery depictions of sail boats, in Mesopotamia, and later ancient Egypt"
Copper smelting,5000 BC,5000 BC,Serbia,,Copper smelting in Serbia.
Seawall,5000 BC,5000 BC,Tel Hreiz,,"Seawall in Tel Hreiz, near Haifa, Israel."
Lacquer,5,5,China,,th millennium BC: Lacquer in China
Cotton,5000 BC,5000 BC,Mehrgarh,,"Cotton thread, in Mehrgarh, Pakistan, connecting the copper beads of a bracelet."
Rowing oars,5000 BC,5000 BC,China,,– 4500 BC: Rowing oars in China
Lost-wax casting,4500 BC,4500 BC,Palestine,,– 3500 BC: Lost-wax casting in Palestine or the Indus Valley
Fired bricks,4400 BC,4400 BC,China,,Fired bricks in China.
roads,4000 BC,4000 BC,,,"Paved roads, in and around the Mesopotamian city of Ur, Iraq."
Plumbing,4000 BC,4000 BC,,,"Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia.[b]"
locks,4000 BC,4000 BC,,,"Oldest evidence of locks, the earliest example discovered in the ruins of Nineveh, the capital of ancient Assyria."
wheels,4000 BC,4000 BC,,,"– 3400 BC: Oldest evidence of wheels, found in the countries of Ukraine, Poland, and Germany."
sericulture,3630 BC,3630 BC,China,,Silk garments (sericulture) in China
domestication of the horse,3500 BC,3500 BC,,,Probable first domestication of the horse in the Eurasian Steppes.
general anaesthesia,3500 BC,3500 BC,Sumer,,Wine as general anaesthesia in Sumer.
Seal (emblem),3500 BC,3500 BC,,,"Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier."
Ploughing,3500 BC,3500 BC,,,"Ploughing, on a site in Bubeneč, Czech Republic. Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India)."
Tattoos,3400 BC,3400 BC,,,– 3100 BC: Tattoos in southern Europe
swords,3300 BC,3300 BC,Arslantepe,,"The first documented swords. They have been found in Arslantepe, Turkey, are made from arsenical bronze, and are about 60 cm (24 in) long. Some of them are inlaid with silver."
City,3300 BC,3300 BC,Uruk,,"City in Uruk, Sumer, Mesopotamia (modern-day Iraq)."
hats,3250 BC,3250 BC,,,"One of the earliest documented hats was worn by a man (nicknamed Ötzi) whose body and hat found frozen in a mountain between Austria and Italy. He was found wearing a bearskin cap with a chin strap, made of several hides stitched together, resembling a Russian fur hat without the flaps."
Latrines,3200 BC,3200 BC,,,"Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains."
Ljubljana Marshes Wheel,3200 BC,3200 BC,Slovenia,,"Earliest actual wheel ever found, the Ljubljana Marshes Wheel, made of wood, in Slovenia."
dice,3000 BC,3000 BC,,,"Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet. Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from between 2800 and 2500 BC. Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan)."
Tin,3000 BC,3000 BC,Central Asia,,Tin extraction in Central Asia
Papyrus,3000 BC,3000 BC,Egypt,,– 2560 BC: Papyrus in Egypt
Reservoir,3000 BC,3000 BC,Girnar,,"Reservoir in Girnar, Indus Valley."
Receipt,3000 BC,3000 BC,Ancient Mesopotamia,,Receipt in Ancient Mesopotamia (Iraq)
Prosthesis,3000 BC,3000 BC,,,"– 2800 BC: Prosthesis first documented in the Ancient Near East, in ancient Egypt and Iran, specifically for an eye prosthetics, the eye found in Iran was likely made of bitumen paste that was covered with a thin layer of gold."
Rhinoplasty,3000 BC,3000 BC,Egypt,,– 2500 BC: Rhinoplasty in Egypt.
Ruler,2650 BC,2650 BC,,,"The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq).[c]"
Planned city,2600 BC,2600 BC,Indus Valley,,Planned city in Indus Valley.
Public sewage and sanitation systems in Indus Valley,2600 BC,2600 BC,,,Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi.
Public bath,2600 BC,2600 BC,,,"Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan)."
Levee,2600 BC,2600 BC,Indus Valley,,Levee in Indus Valley.
Balance weights and scales,2600 BC,2600 BC,,,"Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed."
Docks,2556 BC,2556 BC,,,"Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu.[d]"
Puppetry,2500 BC,2500 BC,,,Puppetry in the Indus Valley.
Fork,2400 BC,2400 BC,Bronze Age Qijia culture in China,,Fork in Bronze Age Qijia culture in China
Copper pipes,2400 BC,2400 BC,,,"Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes."
Touchstone,2400 BC,2400 BC,,,Touchstone in the Indus Valley site of Banawali (modern-day India).
Dictionary,2300 BC,2300 BC,Mesopotamia,,Dictionary in Mesopotamia.
Iron smelting,2200 BC,2200 BC,,,– 2000 BC: Iron smelting in Kaman-Kalehöyük.
Protractor,2200 BC,2200 BC,,,"Protractor, Phase IV, Lothal, Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool."
Water clock,2000 BC,2000 BC,,,"Water clock by at least the old Babylonian period (c. 2000 – c. 1600 BC), but possibly earlier from Mohenjo-Daro in the Indus Valley."
Chariot,2000 BC,2000 BC,Russia and Kazakhstan,,Chariot in Russia and Kazakhstan
Scissors,2000 BC,2000 BC,Mesopotamia,,"Scissors, in Mesopotamia."
Proto-Sinaitic script,1850 BC,1850 BC,Egypt,,Proto-alphabet (Proto-Sinaitic script) in Egypt.
Surgical treatise,1600 BC,1600 BC,Egypt,,Surgical treatise appeared in Egypt.
Sundial,1500 BC,1500 BC,Ancient Egypt,,Sundial in Ancient Egypt or Babylonia (modern-day Iraq).
Glass,1500 BC,1500 BC,,,Glass manufacture in either Mesopotamia or Ancient Egypt.
Seed drill,1500 BC,1500 BC,,,Seed drill in Babylonia.
Rubber,1400 BC,1400 BC,,,"Rubber, Mesoamerican ballgame."
Concrete,1400 BC,1400 BC,Tiryns,,"– 1200 BC: Concrete in Tiryns (Mycenaean Greece),"
Lathe,1300 BC,1300 BC,Ancient Egypt,,Lathe in Ancient Egypt.
Distillation,1200 BC,1200 BC,,,Distillation is described on Akkadian tablets documenting perfumery operations.
Star catalogue,1100 BC,1100 BC,,,"Star catalogue — Three Stars Each is the earliest known catalogue in long-running tradition of Babylonian astronomy, likely drawing on Sumerian and/or Elamite constellations."
Saddle,700 BC,700 BC,,,Saddle (fringed cloths or pads used by Assyrian cavalry).
Library of Ashurbanipal,7,7,,,"th century BC: The royal Library of Ashurbanipal at Nineveh had 30,000 clay tablets, in several languages, organized according to shape and separated by content. The first recorded example of a library catalog."
Crossbow,650 BC,650 BC,China,,Crossbow in China.
Coins,600 BC,600 BC,Phoenicia,,Coins in Phoenicia (Modern Lebanon) or Lydia.
High Carbon Steel,6,6,,,"th century BC – 10th century AD: High Carbon Steel, produced by the Closed Crucible method, later known as Wootz steel, of South India.[f]"
Sushruta Samhita,6,6,Vedic Northern India,,"th century – 2nd century BC: Systematization of medicine and surgery in the Sushruta Samhita in Vedic Northern India. Documented procedures to: Perform cataract surgery (couching). Babylonian and Egyptian texts, a millennium before, depict and mention oculists, but not the procedure itself. Perform Caesarean section. Construct Prosthetic limbs. Perform Plastic surgery, though reconstructive nasal surgery is described in millennia older Egyptian papyri."
Lighthouse,500 BC,500 BC,Greece,,Lighthouse in Greece.
Toe stirrup,500,500,,,"– 200 BC: Toe stirrup, depicted in 2nd century Buddhist art, of the Sanchi and Bhaja Caves, of the Deccan Satavahana empire (modern-day India) although may have originated as early as 500 BC."
Catapult,485 BC,485 BC,Magadha,,"Catapult by Ajatashatru in Magadha, India."
Ajatashatru,485 BC,485 BC,Magadha,,"Scythed chariot by Ajatashatru in Magadha, India."
Cast iron,5,5,"China, Jiangsu province",,"th century BC: Cast iron in Ancient China: Confirmed by archaeological evidence, the earliest cast iron is developed in China by the early 5th century BC during the Zhou dynasty (1122–256 BC), the oldest specimens found in a tomb of Luhe County in Jiangsu province."
Spiral stairs,480 BC,480 BC,Selinunte,,"Spiral stairs (Temple A) in Selinunte, Sicily (see also List of ancient spiral stairs)"
zero,400,400,,,and 300 BC: Invention of the concept of zero in Babylon (now Iraq). It was invented independently by the Maya in the first few centuries A.D
Traction trebuchet,4,4,Ancient China,,th century BC: Traction trebuchet in Ancient China.
Gears,4,4,Ancient China,,th century BC: Gears in Ancient China
Reed pens,4,4,Egypt,,"th century BC: Reed pens, utilising a split nib, were used to write with ink on Papyrus in Egypt."
Horseshoe,4,4,,,"th century BC: Nailed Horseshoe, with 4 bronze shoes found in an Etruscan tomb."
Animal-driven rotary mill,375 BC,375 BC,Carthage,,– 350 BC: Animal-driven rotary mill in Carthage.
Zinc production,4,4,Rajasthan,,"th to 3rd century BC: Zinc production in North-Western India during the Maurya Empire. The earliest known zinc mines and smelting sites are from Zawar, near Udaipur, in Rajasthan."
Analog computers,3,3,Rhodes,,"rd century BC: Analog computers in the Hellenistic world (see e.g. the Antikythera mechanism), possibly in Rhodes."
Cam,3,3,,,"rd century BC: Cam during the Hellenistic period, used in water-driven automata."
Gimbal,3,3,,,rd century BC: Gimbal described by Philo of Byzantium
Blast furnace,3,3,,,"rd century BC – 2nd century BC: Blast furnace in Ancient China: The earliest discovered blast furnaces in China date to the 3rd and 2nd centuries BC, although most sites are from the later Han dynasty."
Paper,2,2,Han dynasty China,,nd century BC: Paper in Han dynasty China[g]
Compass,206 BC,206 BC,Han dynasty China,,Compass in Han dynasty China
arch bridge,1,1,Italy,,"st century BC: Segmental arch bridge (e.g. Pont-Saint-Martin or Ponte San Lorenzo) in Italy, Roman Republic"
newspaper,1,1,,,"st century BC: News bulletin during the reign of Julius Caesar. A paper form, i.e. the earliest newspaper, later appeared during the late Han dynasty in the form of the Dibao."
Arch dam,1,1,Gallia Narbonensis,,"st century BC: Arch dam (Glanum Dam) in Gallia Narbonensis, Roman Republic (see also List of Roman dams)"
Glass blowing,37 BC,37 BC,Jerusalem,,– 14 BC: Glass blowing developed in Jerusalem.
Noodle,25 BC,25 BC,Lajia in China,,Noodle in Lajia in China
aeolipile,1,1,,,"st century AD: The aeolipile, a simple steam turbine is recorded by Hero of Alexandria."
respiratory protective equipment,1,1,Roman mines from red lead oxide dust,,st century AD: The first use of respiratory protective equipment is documented by Pliny the Elder (c. 23 AD–79) using animal bladder skins to protect workers in Roman mines from red lead oxide dust.
wine,1,1,,,st century AD: Oldest surviving wine.
Vending machines,1,1,,,st century AD: Vending machines invented by Hero of Alexandria
Seismometer,132,132,Han dynasty China,,"Seismometer and pendulum in Han dynasty China, built by Zhang Heng. It is a large metal urn-shaped instrument which employed either a suspended pendulum or inverted pendulum acting on inertia, like the ground tremors from earthquakes, to dislodge a metal ball by a lever trip device."
Carding,2,2,India,,nd century: Carding in India.
Chaturanga,280,280,India during the Gupta Empire,,"– 550: Chaturanga, a precursor of Chess was invented in India during the Gupta Empire."
Dichroic glass,4,4,,,"th century: Roman Dichroic glass, which displays one of two different colors depending on lighting conditions."
Simple suspension bridge,4,4,Tibet,,"th century: Simple suspension bridge, independently invented in Pre-Columbian South America, and the Hindu Kush range, of present-day Afghanistan and Pakistan. With Han dynasty travelers noting bridges being constructed from 3 or more vines or 3 ropes. Later bridges constructed utilizing cables of iron chains appeared in Tibet."
Fishing reel,4,4,,,"th century: Fishing reel in Ancient China: In literary records, the earliest evidence of the fishing reel comes from a 4th-century AD work entitled Lives of Famous Immortals."
Oil Wells,347,347,China,,Oil Wells and Borehole drilling in China. Such wells could reach depths of up to 240 m (790 ft).
Paddle wheel boat,4,4,Roman Empire,,th century – 5th century: Paddle wheel boat (in De rebus bellicis) in Roman Empire
Iron pillar of Delhi,400,400,"Mathura, Ancient India",,"The construction of the Iron pillar of Delhi in Mathura by the Gupta Empire shows the development of rust-resistant ferrous metallurgy in Ancient India, although original texts do not survive to detail the specific processes invented in this period."
horse collar,5,5,,,"th century: The horse collar as a fully developed collar harness is developed in Northern and Southern dynasties China during the 5th century AD. The earliest depiction of it is a Dunhuang cave mural from the Chinese Northern Wei dynasty, the painting dated to 477–499."
Pointed arch bridge,5,5,Cappadocia,,"th century – 6th century: Pointed arch bridge (Karamagara Bridge) in Cappadocia, Eastern Roman Empire"
Pendentive,563,563,Constantinople,,"Pendentive dome (Hagia Sophia) in Constantinople, Eastern Roman Empire"
Sulfur matches,577,577,China,,Sulfur matches exist in China
Toilet paper,589,531–591,Sui dynasty China,,"Toilet paper in Sui dynasty China, first mentioned by the official Yan Zhitui (531–591), with full evidence of continual use in subsequent dynasties."
Toothbrush,619,619,China during the Tang dynasty,,Toothbrush in China during the Tang dynasty
Greek fire,672,672,Constantinople,,"Greek fire in Constantinople, Byzantine Empire: Greek fire, an incendiary weapon likely based on petroleum or naphtha, is invented by Kallinikos, a Lebanese Greek refugee from Baalbek, as described by Theophanes. However, the historicity and exact chronology of this account is dubious, and it could be that Kallinikos merely introduced an improved version of an established weapon."
Banknote,7,7,China during the Tang and Song dynasties,,"th century: Banknote in Tang dynasty China: The banknote is first developed in China during the Tang and Song dynasties, starting in the 7th century. Its roots are in merchant receipts of deposit during the Tang dynasty (618–907), as merchants and wholesalers desire to avoid the heavy bulk of copper coinage in large commercial transactions."
Porcelain,7,7,,,"th century: Porcelain in Tang dynasty China: True porcelain is manufactured in northern China from roughly the beginning of the Tang dynasty in the 7th century, while true porcelain was not manufactured in southern China until about 300 years later, during the early 10th century."
Gunpowder,9,9,,,"th century: Gunpowder in Tang dynasty China: Gunpowder is, according to prevailing academic consensus, discovered in the 9th century by Chinese alchemists searching for an elixir of immortality. Evidence of gunpowder's first use in China comes from the Five Dynasties and Ten Kingdoms period (618–907). The earliest known recorded recipes for gunpowder are written by Zeng Gongliang, Ding Du, and Yang Weide in the Wujing Zongyao, a military manuscript compiled in 1044 during the Song dynasty (960–1..."
Playing card,9,9,Tang dynasty China,,th century: Playing card in Tang dynasty China
Fire lance,10,10,Song dynasty China,,"th century: Fire lance in Song dynasty China, developed in the 10th century with a tube of first bamboo and later on metal that shot a weak gunpowder blast of flame and shrapnel, its earliest depiction is a painting found at Dunhuang. Fire lance is the earliest firearm in the world and one of the earliest gunpowder weapons."
Fireworks,10,10,China during the Song dynasty,,"th century: Fireworks in Song dynasty China: Fireworks first appear in China during the Song dynasty (960–1279), in the early age of gunpowder. Fireworks could be purchased from market vendors; these were made of sticks of bamboo packed with gunpowder."
Fountain pen,974,974,Arab Egypt,,Fountain pen: invented at the request of al-Mu'izz li-Din Allah in Arab Egypt.
Bessemer process,11,11,China,,th century: Early versions of the Bessemer process are developed in China.
Endless power-transmitting chain drive,11,11,,,th century: Endless power-transmitting chain drive by Su Song for the development an astronomical clock (the Cosmic Engine)
Calico,11,11,Calicut,,"th century: Calico was developed in Calicut, India."
Movable type,1088,1088,,,"Movable type in Song dynasty China: The first record of a movable type system is in the Dream Pool Essays, which attributes the invention of the movable type to Bi Sheng."
Rocket,13,13,,,th century: Rocket for military and recreational uses date back to at least 13th-century China.
mechanical escapement,13,13,Europe,,"th century: The earliest form of mechanical escapement, the verge escapement in Europe."
Buttons,13,13,Germany,,th century: Buttons (combined with buttonholes) as a functional fastening for closing clothes appear first in Germany.
Explosive bomb,13,13,,,"th century: Explosive bomb in Jin dynasty Manchuria: Explosive bombs are used in 1221 by the Jin dynasty against a Song dynasty city. The first accounts of bombs made of cast iron shells packed with explosive gunpowder are documented in the 13th century in China and are called ""thunder-crash bombs"", coined during a Jin dynasty naval battle in 1231."
Hand cannon,13,13,,,"th century: Hand cannon in Yuan dynasty China: The earliest hand cannon dates to the 13th century based on archaeological evidence from a Heilongjiang excavation. There is also written evidence in the Yuanshi (1370) on Li Tang, an ethnic Jurchen commander under the Yuan dynasty who in 1288 suppresses the rebellion of the Christian prince Nayan with his ""gun-soldiers"" or chongzu, this being the earliest known event where this phrase is used."
snow goggles,13,13,,,"th century: Earliest documented snow goggles, a type of sunglasses, made of flattened walrus or caribou ivory are used by the Inuit peoples in the arctic regions of North America. In China, the first sunglasses consisting of flat panes of smoky quartz are documented."
Double-entry bookkeeping,13,13,Italy,,th century: Double-entry bookkeeping in Italy.
Worm gear cotton gin,13,13,India,,th century - 14th century: Worm gear cotton gin in India.
Land mine,1277,1277,,,"Land mine in Song dynasty China: Textual evidence suggests that the first use of a land mine in history is by a Song dynasty brigadier general known as Lou Qianxia, who uses an 'enormous bomb' (huo pao) to kill Mongol soldiers invading Guangxi in 1277."
Eyeglasses,1286,1286,Italy,,Eyeglasses in Italy
Canvas,14,14,Italy,,th century: Painting Canvas was first used in Italy.
Jacob's staff,14,14,,,th century: Jacob's staff described by Levi ben Gerson
Naval mine,14,14,,,"th century: Naval mine in Ming dynasty China: Mentioned in the Huolongjing military manuscript written by Jiao Yu (fl. 14th to early 15th century) and Liu Bowen (1311–1375), describing naval mines used at sea or on rivers and lakes, made of wrought iron and enclosed in an ox bladder. A later model is documented in Song Yingxing's encyclopedia written in 1637."
Bidriware,14,14,India,,th century: Bidriware in the Bahmani Sultanate in India.
handgun,1364,1364,,,first use of a handgun
Mainspring,15,15,Europe,,th century: Mainspring in Europe
Brace,1420,1420,Flanders,,"s: Brace in Flanders, Holy Roman Empire"
Printing press,1439,1439,Mainz,,"Printing press in Mainz, Germany: The printing press is invented in the Holy Roman Empire by Johannes Gutenberg before 1440, based on existing screw presses. The first confirmed record of a press appeared in a 1439 lawsuit against Gutenberg."
Mariner's astrolabe,1480,1480,Portuguese circumnavigation of Africa,,s: Mariner's astrolabe in Portuguese circumnavigation of Africa
Chintz,16,16,Golconda,,"th century: Chintz or printed clothing in Golconda, India"
Hookah,16,16,,,"th century: Hookah by Irfan Shaikh, at the court of the Mughal emperor Akbar I"
Rifling,1540,1540,,,"Rifling is first used in firearms, after being invented in 1498"
Floating dry dock,1560,1560,Venice,,"Floating dry dock in Venice, Venetian Republic"
Mercator Projection,1569,1569,,,Mercator Projection map created by Gerardus Mercator
Stocking frame,1589,1589,,,Stocking frame: Invented by William Lee.
Backstaff,1594,1594,,,Backstaff: Invented by Captain John Davis
Newspaper,1605,1605,Strassburg,,Newspaper (Relation): Johann Carolus in Strassburg (see also List of the oldest newspapers)
Telescope,1608,1608,,,Telescope: Patent applied for by Hans Lippershey. Actual inventor unknown since it seemed to already be a common item being offered by the spectacle makers in the Netherlands with Jacob Metius also applying for patent and the son of Zacharias Janssen making a claim 47 years later that his father invented it.
Compound microscopes,1620,1620,Europe,,"Compound microscopes, which combine an objective lens with an eyepiece to view a real image, first appear in Europe. Apparently derived from the telescope, actual inventor unknown, variously attributed to Zacharias Janssen (his son claiming it was invented in 1590), Cornelis Drebbel, and Galileo Galilei."
Slide rule,1630,1630,,,Slide rule: invented by William Oughtred
flintlock,1630,1630,,,first use of the flintlock
Mechanical calculator,1642,1642,,,Mechanical calculator. The Pascaline is built by Blaise Pascal.
Barometer,1643,1643,,,"Barometer: invented by Evangelista Torricelli, or possibly up to three years earlier by Gasparo Berti."
Vacuum pump,1650,1650,,,Vacuum pump: Invented by Otto von Guericke.
Pendulum clock,1656,1656,,,Pendulum clock: Invented by Christiaan Huygens. It was first conceptualized in 1637 by Galileo Galilei but he was unable to create a working model.
reflecting telescope,1668,1668,,,First functional reflecting telescope constructed by Isaac Newton.
Pressure-cooker,1679,1679,,,Pressure-cooker: Invented by Denis Papin.
Christiaan Huygens,1680,1680,,,Christiaan Huygens provides the first known description of a piston engine.
Thomas Savery,1698,1698,,,Thomas Savery develops a steam-powered water pump: for draining mines
Bartolomeo Cristofori,1709,1709,,,"Bartolomeo Cristofori crafts the first piano, which became a leading instrument of Western art music"
Thomas Newcomen,1712,1712,,,Thomas Newcomen builds the first commercial steam engine to pump water out of mines.
Lewis Paul,1738,1738,,,"Lewis Paul and John Wyatt invent the first mechanized cotton spinning machine, helping to establish the British textile industry"
Musschenbroek,1745,1745,,,"Musschenbroek and Kleist independently develop the Leyden jar, an early form of capacitor."
John Roebuck,1746,1746,,,"John Roebuck invents the lead chamber process, mass producing sulfuric acid for manufacturing"
William Cullen,1755,1755,,,William Cullen invents the first artificial refrigeration machine
James Hargreaves,1764,1764,,,"James Hargreaves invents the spinning jenny, revolutionizing textile production during the Industrial Revolution"
